UACE,NAME,POP,HOUSING,AREALAND,AREALANDSQMI,AREAWATER,AREAWATERSQMI,POPDEN,
06139,"Beckley, WV"," 57,468 "," 27,981 "," 138,915,493 ", 53.64 ," 431,443 ", 0.17 ," 1,071.45 ",
06166,"Bedford, IN"," 14,432 "," 6,932 "," 22,034,934 ", 8.51 ," 2,314 ", 0.00 ," 1,696.34 ",
06193,"Bedford, PA"," 4,392 "," 2,426 "," 9,941,199 ", 3.84 ," 270,639 ", 0.10 ," 1,144.25 ",
06220,"Bedford, VA"," 7,541 "," 3,587 "," 22,211,678 ", 8.58 ," 30,240 ", 0.01 , 879.32 ,
06247,"Beebe, AR"," 7,216 "," 2,969 "," 11,586,697 ", 4.47 ,0.00,0.00," 1,613.00 ",
06274,"Beeville, TX"," 14,230 "," 6,110 "," 16,350,545 ", 6.31 ,0.00,0.00," 2,254.09 ",
06290,"Bel Air--Aberdeen, MD"," 214,647 "," 86,017 "," 277,642,000 ", 107.20 ," 3,614,984 ", 1.40 ," 2,002.34 ",
06301,"Belding, MI"," 5,611 "," 2,285 "," 7,530,588 ", 2.91 ," 154,362 ", 0.06 ," 1,929.79 ",
06335,"Belfair, WA"," 5,141 "," 3,022 "," 13,854,178 ", 5.35 ," 1,964 ", 0.00 , 961.09 ,
06355,"Belfast, ME"," 3,754 "," 2,484 "," 9,120,701 ", 3.52 ," 45,394 ", 0.02 ," 1,066.02 ",
06382,"Belgrade, MT"," 18,534 "," 7,215 "," 34,572,870 ", 13.35 ," 107,241 ", 0.04 ," 1,388.45 ",
06436,"Bellefontaine, OH"," 14,024 "," 6,358 "," 16,085,825 ", 6.21 ,0.00,0.00," 2,258.01 ",
06463,"Bellefonte, PA"," 15,588 "," 6,424 "," 20,305,137 ", 7.84 ,0.00,0.00," 1,988.30 ",
06490,"Belle Fourche, SD"," 5,089 "," 2,375 "," 7,406,382 ", 2.86 ,0.00,0.00," 1,779.61 ",
06517,"Belle Glade, FL"," 23,009 "," 7,996 "," 18,672,943 ", 7.21 ,0.00,0.00," 3,191.41 ",
06571,"Belle Plaine, MN"," 7,061 "," 2,629 "," 9,192,802 ", 3.55 ,0.00,0.00," 1,989.37 ",
06625,"Bellevue, OH"," 8,400 "," 3,759 "," 11,577,760 ", 4.47 ," 181,429 ", 0.07 ," 1,879.11 ",
06652,"Bellingham, WA"," 128,979 "," 56,420 "," 129,840,795 ", 50.13 ," 7,550,895 ", 2.92 ," 2,572.80 ",
06679,"Bellows Falls, VT--NH"," 3,978 "," 2,072 "," 6,270,081 ", 2.42 ," 119,932 ", 0.05 ," 1,643.20 ",
06760,"Beloit, WI--IL"," 63,073 "," 26,188 "," 82,713,169 ", 31.94 ," 2,164,278 ", 0.84 ," 1,975.00 ",
06770,"Belterra, TX"," 8,075 "," 2,807 "," 8,700,398 ", 3.36 ,0.00,0.00," 2,403.82 ",
06779,"Belton, SC"," 5,301 "," 2,518 "," 11,816,372 ", 4.56 ," 28,235 ", 0.01 ," 1,161.91 ",
06841,"Bemidji, MN"," 14,849 "," 6,747 "," 37,447,425 ", 14.46 ," 2,705,902 ", 1.04 ," 1,027.01 ",
06868,"Bend, OR"," 106,988 "," 47,859 "," 109,834,087 ", 42.41 ," 786,737 ", 0.30 ," 2,522.87 ",
06895,"Bennettsville, SC"," 9,075 "," 4,618 "," 19,347,948 ", 7.47 ," 1,278,568 ", 0.49 ," 1,214.81 ",
06922,"Bennington, VT"," 13,759 "," 6,140 "," 30,128,576 ", 11.63 ," 301,080 ", 0.12 ," 1,182.79 ",
06949,"Benson, AZ"," 3,830 "," 2,342 "," 7,028,637 ", 2.71 ," 4,137 ", 0.00 ," 1,411.32 ",
07030,"Benton, IL"," 7,491 "," 3,737 "," 12,902,238 ", 4.98 ," 51,328 ", 0.02 ," 1,503.74 ",
07057,"Benton, KY"," 4,691 "," 2,114 "," 10,688,616 ", 4.13 ," 141,709 ", 0.05 ," 1,136.69 ",
07084,"Benton, LA"," 5,591 "," 2,150 "," 11,591,813 ", 4.48 ," 17,419 ", 0.01 ," 1,249.21 ",
07138,"Benton Harbor--Lincoln--St. Joseph, MI"," 61,888 "," 30,730 "," 136,046,516 ", 52.53 ," 3,221,569 ", 1.24 ," 1,178.19 ",
07165,"Berea, KY"," 16,158 "," 6,631 "," 29,728,875 ", 11.48 ," 133,829 ", 0.05 ," 1,407.69 ",
07192,"Berlin, NH"," 9,658 "," 5,339 "," 12,806,030 ", 4.94 ," 451,316 ", 0.17 ," 1,953.31 ",
07219,"Berlin, WI"," 5,289 "," 2,495 "," 8,947,266 ", 3.45 ," 33,714 ", 0.01 ," 1,531.02 ",
